user_id,choice_sat,difficulty,identification,similarity
26323,4.75,1.66666666666667,3.0,3.0
42775,5.0,1.33333333333333,4.5,4.0
41651,4.25,1.5,5.0,5.0
32327,3.0,2.83333333333333,2.25,2.0
99855,5.0,1.83333333333333,5.0,4.0
80934,4.75,2.83333333333333,4.0,4.0
9488,3.0,2.5,3.0,3.5
86840,4.25,2.66666666666667,3.75,3.0
99355,3.75,2.83333333333333,3.75,4.0
76869,5.0,1.33333333333333,5.0,4.0
43978,4.0,2.16666666666667,4.0,4.0
30600,3.5,3.33333333333333,5.0,5.0
89066,4.5,2.0,3.75,3.0
17384,4.5,2.33333333333333,3.75,1.5
56579,3.0,2.5,3.0,3.0
62404,5.0,2.33333333333333,3.75,3.0
66485,4.5,2.33333333333333,4.75,4.0
31561,4.75,2.83333333333333,4.75,4.0
31976,4.0,2.0,3.75,3.0
53265,4.25,2.33333333333333,4.0,3.0
96341,5.0,1.5,3.75,5.0
64074,5.0,2.5,2.25,5.0
752,4.0,2.0,5.0,4.0
73779,4.0,1.66666666666667,5.0,5.0
43778,4.5,2.5,4.75,4.0
9371,3.75,2.66666666666667,3.75,4.0
71238,4.0,2.0,4.0,3.0
58708,4.5,2.5,3.75,4.5
74772,3.5,1.83333333333333,5.0,5.0
6990,3.75,2.83333333333333,4.0,3.0
29112,3.25,3.33333333333333,3.5,4.0
87821,5.0,1.16666666666667,5.0,5.0
45831,5.0,1.33333333333333,3.25,2.5
48507,5.0,2.33333333333333,4.75,2.0
66062,2.5,2.33333333333333,3.75,3.0
12627,5.0,1.33333333333333,3.25,2.0
88865,4.75,2.66666666666667,3.0,3.0
24623,3.5,1.83333333333333,4.0,4.0
57710,4.0,2.66666666666667,4.0,2.0
48826,4.0,3.16666666666667,4.0,4.0
49924,4.5,2.16666666666667,2.5,4.0
66179,3.5,2.33333333333333,2.75,3.0
45608,4.75,2.16666666666667,4.0,4.0
64219,2.75,2.66666666666667,3.5,3.5
87750,3.75,2.66666666666667,3.25,3.0
30719,4.0,2.33333333333333,4.0,3.0
73790,3.0,3.0,3.0,3.0
65793,5.0,2.0,4.5,4.0
45113,5.0,1.66666666666667,3.0,4.0
21293,3.25,2.83333333333333,3.75,3.0
41962,4.0,2.33333333333333,2.0,2.0
38222,4.0,2.33333333333333,4.0,4.0
